Processor Pool Total: 1140161264 Used:  254991760 Free:  885169504
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    3149400 Used:    3148568 Free:        832

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
   0   0  257645576   75040288  158327096        655      13627 *Init*          
   0   0       2968    1572976       2968          1          1 *Sched*         
   0   0   18199328    8695408    8269224          8          6 *Dead*          
   0   0          0          0     395488          0          0 *MallocLite*    
   1   0     645672          0     675616          0          0 Chunk Manager   
   2   0        448        448      17944          0          0 Load Meter      
   3   0          0          0      54056          0          0 Policy bind Proc
   4   0          0          0      29944          0          0 Retransmission o
   5   0          0          0      29944          0          0 IPC ISSU Dispatc
   6   0     746448      84952     467200          3          3 RF Slave Main Th
   7   0      65632          0     167576          0          0 EDDRI_MAIN      
   8   0          0          0      30056          0          0 RO Notify Timers
   9   0       8832        448      38328          0          0 Check heaps     
  10   0   18190816   18244008     216040         51          0 Pool Manager    
  11   0          0          0      29944          0          0 DiscardQ Backgro
  12   0        448        448      29944          0          0 Timers          
  13   0          0          0      17944          0          0 WATCH_AFS       
  14   0          0          0      29944          0          0 IOSXE heartbeat 
  15   0          0          0      29944          0          0 DB Lock Manager 
  16   0          0          0      29944          0          0 DB Notification 
  17   0          0          0      53944          0          0 PKI Trustpool   
  18   0          0          0      29944          0          0 VACS Background 
  19   0        448        448      41944          0          0 ATM AutoVC Perio
  20   0        448        448      29944          0          0 ATM VC Auto Crea
  21   0          0          0      29944          0          0 IPC Apps Task   
  22   0          0          0      29944          0          0 ifIndex Receive 
  23   0          0          0      29944          0          0 IPC Event Notifi
  24   0          0          0      29944          0          0 IPC Mcast Pendin
  25   0          0          0      29944          0          0 Platform appsess
  26   0          0          0      29944          0          0 IPC Dynamic Cach
  27   0          0          0      29944          0          0 IPC Service NonC
  28   0          0          0      29944          0          0 IPC Zone Manager
  29   0          0          0      29944          0          0 IPC Periodic Tim
  30   0          0          0      29944          0          0 IPC Deferred Por
  31   0          0          0      29944          0          0 IPC Process leve
  32   0       2192          0      32136          0          0 IPC Seat Manager
