
OSPF Process 1 with Router ID 10.1.254.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1369     60 8000000d            1
 Router    10.1.254.2      10.1.254.2       632     60 8000000c            1
 Router    10.1.254.3      10.1.254.3      1294     96 80000013            1
 Router    10.1.254.6      10.1.254.6       713     60 8000000a            1
 Sum-Net   10.1.10.0       10.1.254.1      1355     28 80000009            1
 Sum-Net   10.1.10.0       10.1.254.2       669     28 80000009            1
 Sum-Net   10.1.10.254     10.1.254.1      1378     28 8000000a            1
 Sum-Net   10.1.10.254     10.1.254.2      1433     28 8000000a            2
 Sum-Net   10.1.20.0       10.1.254.1      1426     28 80000009            1
 Sum-Net   10.1.20.0       10.1.254.2      1061     28 80000009            1
 Sum-Net   10.1.20.254     10.1.254.1      1283     28 8000000a            1
 Sum-Net   10.1.20.254     10.1.254.2      1273     28 8000000a            2
 Sum-Net   10.1.30.0       10.1.254.1      1373     28 80000009            1
 Sum-Net   10.1.30.0       10.1.254.2       878     28 80000009            1
 Sum-Net   10.1.30.254     10.1.254.1      1332     28 80000009            2
 Sum-Net   10.1.30.254     10.1.254.2       643     28 80000009            1
 Sum-Net   10.1.40.0       10.1.254.1      1347     28 80000009            1
 Sum-Net   10.1.40.0       10.1.254.2       841     28 80000009            1
 Sum-Net   10.1.40.254     10.1.254.1      1417     28 80000009            2
 Sum-Net   10.1.40.254     10.1.254.2       628     28 80000009            1
 Sum-Net   10.1.50.0       10.1.254.3      1325     28 80000006            2
 Sum-Net   10.1.110.0      10.1.254.1      1266     28 80000009            1
 Sum-Net   10.1.110.0      10.1.254.2       924     28 80000009            1
 Sum-Net   10.1.110.254    10.1.254.1      1319     28 8000000a            1
 Sum-Net   10.1.110.254    10.1.254.2      1280     28 8000000a            2
 Sum-Net   10.1.120.0      10.1.254.1      1302     28 80000009            1
 Sum-Net   10.1.120.0      10.1.254.2       467     28 80000009            1
 Sum-Net   10.1.120.254    10.1.254.1      1275     28 8000000a            1
 Sum-Net   10.1.120.254    10.1.254.2      1394     28 8000000a            2
