CPU utilization statistics at 2026-06-16 06:50:01 246 ms
System CPU Using Percentage :  12%
CPU utilization for five seconds: 12%, one minute: 10%, five minutes: 8%.
Max CPU Usage :                27%
Max CPU Usage Stat. Time : 2026-06-15 01:41:48 264 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           12%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime
----------------------------------------------------------------
cpu0        39%      39%      37%      37%  99% 2026-06-13 10:24:34
cpu1         8%       9%      24%      13%  99% 2026-06-13 15:08:15
cpu2        48%      58%      84%      29%  99% 2026-06-12 07:38:56
cpu3        48%      57%      58%      17%  99% 2026-06-12 04:16:06
cpu4        59%      50%      19%       8%  99% 2026-06-11 17:19:17
cpu5        14%      14%       7%      30%  99% 2026-06-12 03:37:55
cpu6         6%       6%       6%       6%  99% 2026-06-12 15:04:14
cpu7        24%      17%       7%      27%  99% 2026-06-11 17:02:37
cpu8        63%      60%      28%      10%  99% 2026-06-11 16:04:18
cpu9         6%       6%       6%       5%  99% 2026-06-12 21:54:04
cpu10        6%       6%       6%       4%  99% 2026-06-11 11:44:58
cpu11        6%       6%       6%       4%  99% 2026-06-14 06:41:24
cpu12        6%       6%       6%       7%  99% 2026-06-12 03:47:55
cpu13       16%      16%       9%       6%  99% 2026-06-11 16:50:27
cpu14        7%       7%       4%       4%  99% 2026-06-11 17:20:47
cpu15       47%      38%      12%       5%  99% 2026-06-12 03:39:25
cpu16        6%       6%       4%       4%  99% 2026-06-11 17:12:17
cpu17        5%       5%       4%      13%  99% 2026-06-12 02:53:45
cpu18        5%       5%       4%       5%  99% 2026-06-12 02:31:56
cpu19        5%       5%       3%       6%  99% 2026-06-12 07:12:26
cpu20        4%       3%       2%       2%  99% 2026-06-12 02:32:55
cpu21        4%       4%       2%       3%  99% 2026-06-11 14:45:08
cpu22        3%       4%       3%       2%  99% 2026-06-11 12:41:38
cpu23        4%       4%       5%       3%  99% 2026-06-11 11:56:58
cpu24        6%       6%       4%       2%  99% 2026-06-11 12:32:38
cpu25        4%       4%       3%       9%  99% 2026-06-12 02:31:56
cpu26        4%       6%       4%       2%  99% 2026-06-11 15:05:08
cpu27        6%       6%       3%       3%  99% 2026-06-11 12:10:08
cpu28        3%       4%       6%       6%  99% 2026-06-11 13:23:57
cpu29        3%       4%      15%      12%  99% 2026-06-11 18:44:48
cpu30        4%       4%       2%       9%  99% 2026-06-11 15:44:28
cpu31        4%       4%       3%       4%  99% 2026-06-11 16:11:58
cpu32        5%       5%       3%       2%  99% 2026-06-11 15:46:58
cpu33        3%       3%       2%       6%  99% 2026-06-11 12:01:48
cpu34        7%       7%       5%       4%  99% 2026-06-11 14:18:07
cpu35        3%       4%      28%      41%  99% 2026-06-11 17:41:58
cpu36       10%       4%      17%       4%  99% 2026-06-11 14:25:47
cpu37        4%       4%       3%       1%  99% 2026-06-11 14:23:07
cpu38        2%       2%       2%       1%  99% 2026-06-11 15:58:08
cpu39       30%      30%      21%       6%  99% 2026-06-11 13:47:07
cpu40        3%       3%       3%       4%  80% 2026-06-12 04:22:46
cpu41        4%       4%       3%       3%  99% 2026-06-11 17:07:57
cpu42        6%       6%       6%       6%  99% 2026-06-11 16:37:17
cpu43        3%       3%       2%       3%  99% 2026-06-11 16:57:57
cpu44        3%       4%       5%       5%  99% 2026-06-12 07:01:37
cpu45        8%       8%       7%       5%  99% 2026-06-12 12:31:24
cpu46        6%       6%       6%       5%  99% 2026-06-11 17:23:37
cpu47        5%       6%       6%      13%  99% 2026-06-11 17:24:37
cpu48       12%      12%      11%       6%  89% 2026-06-12 20:01:15
cpu49        7%       7%      10%      16%  99% 2026-06-11 16:44:37
cpu50        7%       7%       6%       5%  99% 2026-06-11 17:00:37
cpu51        6%       6%       5%       4%  99% 2026-06-12 12:23:14
cpu52        5%       5%       4%       6%  99% 2026-06-11 17:10:17
cpu53        4%       4%       4%       4%  99% 2026-06-12 04:09:56
cpu54        5%       5%       4%       4%  99% 2026-06-11 14:58:28
cpu55        3%       3%       4%       4%  99% 2026-06-12 16:10:55
cpu56        5%       4%       3%       5%  99% 2026-06-11 16:12:58
cpu57        4%       4%       3%       3%  99% 2026-06-12 08:21:14
cpu58        4%       4%       3%       3%  99% 2026-06-12 08:24:14
cpu59        4%       4%       3%       4%  99% 2026-06-12 15:55:45
cpu60       71%      67%      33%      10%  99% 2026-06-11 12:03:58
cpu61        6%       6%       6%       2%  99% 2026-06-11 14:41:58
cpu62       25%      25%      11%       5%  99% 2026-06-11 14:28:17
cpu63       26%      22%      13%      16%  99% 2026-06-11 12:15:48
cpu64       10%      20%      32%      13%  99% 2026-06-11 12:48:08
cpu65        4%       4%       4%      19%  99% 2026-06-11 18:49:38
cpu66        2%       2%       3%      16%  99% 2026-06-11 13:34:57
cpu67        3%       3%       4%       2%  99% 2026-06-11 13:13:07
cpu68       36%      36%      23%      24%  99% 2026-06-11 12:50:27
cpu69        4%       4%       3%       3%  99% 2026-06-11 19:16:48
cpu70        4%       4%       3%       1%  99% 2026-06-11 19:47:37
cpu71        3%       3%       5%      13%  99% 2026-06-11 17:25:07
