2026-06-15 11:00:08.410 

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1375  96    80000247       1
 Router    10.1.254.2      10.1.254.2         249  72    80000172       1
 Router    10.1.254.1      10.1.254.1        1762  72    80000175     100
 Router    10.1.254.6      10.1.254.6         549  84    800000B8       1
 Router    10.1.254.4      10.1.254.4         592  96    800002A2    65500
 Sum-Net   10.1.200.28     10.1.254.3        1374  28    80000133       2
 Sum-Net   10.1.200.28     10.1.254.4        1376  28    8000013A    65500
 Sum-Net   10.1.200.24     10.1.254.3        1375  28    80000135       1
 Sum-Net   10.1.200.24     10.1.254.4        1375  28    80000134    65501
 Sum-Net   10.1.10.0       10.1.254.1        1318  28    800000CB       1
 Sum-Net   10.1.10.0       10.1.254.2        1496  28    800000CB       1
 Sum-Net   10.1.10.254     10.1.254.1         408  28    800000CB       1
 Sum-Net   10.1.10.254     10.1.254.2         188  28    80000376       2
 Sum-Net   10.1.20.0       10.1.254.1        1657  28    800000CB       1
 Sum-Net   10.1.20.0       10.1.254.2         883  28    800000CB       1
 Sum-Net   10.1.20.254     10.1.254.1        1308  28    800000CB       1
 Sum-Net   10.1.20.254     10.1.254.2        1705  28    800001A4       2
 Sum-Net   10.1.60.0       10.1.254.3        1374  28    80000133       2
 Sum-Net   10.1.60.0       10.1.254.4        1375  28    80000133    65501
 Sum-Net   10.1.110.0      10.1.254.1         825  28    800000CB       1
 Sum-Net   10.1.110.0      10.1.254.2        1160  28    800000CC       1
 Sum-Net   10.1.110.254    10.1.254.1         418  28    800000CC       1
 Sum-Net   10.1.110.254    10.1.254.2        1693  28    800000CB       2
 Sum-Net   10.1.120.0      10.1.254.1          83  28    800000CC       1
 Sum-Net   10.1.120.0      10.1.254.2        1532  28    800000CB       1
 Sum-Net   10.1.120.254    10.1.254.1        1211  28    800000CC       1
 Sum-Net   10.1.120.254    10.1.254.2        1443  28    800000CB       2
 Sum-Net   10.1.30.0       10.1.254.1         788  28    800000CC       1
 Sum-Net   10.1.30.0       10.1.254.2         238  28    800000CC       1
 Sum-Net   10.1.30.254     10.1.254.1         721  28    800003F9       2
 Sum-Net   10.1.30.254     10.1.254.2        1132  28    800000CB       1
 Sum-Net   10.1.50.0       10.1.254.3        1374  28    80000133       2
 Sum-Net   10.1.50.0       10.1.254.4        1375  28    80000133    65501
 Sum-Net   10.1.40.0       10.1.254.1        1048  28    800000CB       1
 Sum-Net   10.1.40.0       10.1.254.2        1682  28    800000CB       1
 Sum-Net   10.1.40.254     10.1.254.1         917  28    800003D2       2
 Sum-Net   10.1.40.254     10.1.254.2         821  28    800000CB       1
 
		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1375  48    80000139       1
