2026-06-15 11:00:45.040 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   5.3%  Max:  53.0% 
CPU utilization for ten seconds:   5.3% : one minute:   5.1% : five minutes:   5.0% 

PID   ProcessName         CPU       Runtime     State
1900  fpath.out           3.0%      1995057     S
1633  vrp                 1.4%      742073      S
1650  vrpio_s             0.3%      170597      S
1910  am.out              0.1%      19774       S
1909  ike.out             0.1%      12479       S
1916  nge.out             0.0%      56212       S
1914  restful.out         0.0%      27456       S
1665  procmgmt.out        0.0%      10626       S
1904  svn.out             0.0%      3711        S
1902  slb_proxy.out       0.0%      54798       S
1901  nlog.out            0.0%      25874       S
1912  auth.out            0.0%      12337       S
1907  mail_send.out       0.0%      5101        S
1919  hc_https_client.out  0.0%      2366        S
1917  netopeer-server.out  0.0%      1042        S
1915  disk_smart.out      0.0%      522         S
1911  umdb.out            0.0%      399         S
1918  svnupgrade.out      0.0%      395         S
1906  aapt.out            0.0%      5           S
1903  mail_proxy.out      0.0%      3           S
1908  tcpproxy.out        0.0%      2           S
1976  sshd.out            0.0%      1           S
1905  rbl.out             0.0%      0           S
