
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       971     72 80000026            1
 Router    10.1.254.2      10.1.254.2       694     72 80000026            1
 Router    10.1.254.3      10.1.254.3      1162     96 8000002d            1
 Router    10.1.254.4      10.1.254.4      1162     96 8000002c        65500
 Router    10.1.254.6      10.1.254.6       138     84 80000023            1
 Sum-Net   10.1.10.0       10.1.254.1       624     28 80000024            1
 Sum-Net   10.1.10.0       10.1.254.2       623     28 80000024            1
 Sum-Net   10.1.10.254     10.1.254.1       962     28 80000024            1
 Sum-Net   10.1.10.254     10.1.254.2      1045     28 80000024            2
 Sum-Net   10.1.20.0       10.1.254.1       861     28 80000024            1
 Sum-Net   10.1.20.0       10.1.254.2       813     28 80000024            1
 Sum-Net   10.1.20.254     10.1.254.1       761     28 80000024            1
 Sum-Net   10.1.20.254     10.1.254.2      1066     28 80000024            2
 Sum-Net   10.1.30.0       10.1.254.1       668     28 80000024            1
 Sum-Net   10.1.30.0       10.1.254.2       805     28 80000024            1
 Sum-Net   10.1.30.254     10.1.254.1      1168     28 80000024            2
 Sum-Net   10.1.30.254     10.1.254.2       285     28 80000024            1
 Sum-Net   10.1.40.0       10.1.254.1       904     28 80000024            1
 Sum-Net   10.1.40.0       10.1.254.2       624     28 80000024            1
 Sum-Net   10.1.40.254     10.1.254.1      1814     28 80000023            2
 Sum-Net   10.1.40.254     10.1.254.2       978     28 80000024            1
 Sum-Net   10.1.50.0       10.1.254.3      1162     28 80000025            2
 Sum-Net   10.1.50.0       10.1.254.4      1162     28 80000025        65501
 Sum-Net   10.1.60.0       10.1.254.3      1162     28 80000025            2
 Sum-Net   10.1.60.0       10.1.254.4      1162     28 80000025        65501
 Sum-Net   10.1.110.0      10.1.254.1       700     28 80000024            1
 Sum-Net   10.1.110.0      10.1.254.2      1149     28 80000024            1
 Sum-Net   10.1.110.254    10.1.254.1       666     28 80000024            1
 Sum-Net   10.1.110.254    10.1.254.2       943     28 80000024            2
 Sum-Net   10.1.120.0      10.1.254.1       756     28 80000024            1
 Sum-Net   10.1.120.0      10.1.254.2       825     28 80000024            1
 Sum-Net   10.1.120.254    10.1.254.1      1012     28 80000024            1
 Sum-Net   10.1.120.254    10.1.254.2       721     28 80000024            2
 Sum-Net   10.1.200.24     10.1.254.3      1162     28 80000026            1
 Sum-Net   10.1.200.24     10.1.254.4      1162     28 80000025        65501
 Sum-Net   10.1.200.28     10.1.254.3      1162     28 80000025            2
 Sum-Net   10.1.200.28     10.1.254.4      1162     28 80000025        65500

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       620     96 8000002a            1
 Router    10.1.254.2      10.1.254.2       528     96 8000002d            1
 Network   10.1.10.252     10.1.254.2       755     32 80000024            0
 Network   10.1.20.252     10.1.254.2       768     32 80000024            0
 Network   10.1.30.252     10.1.254.2       554     32 80000024            0
 Network   10.1.40.252     10.1.254.2       187     32 80000024            0
 Sum-Net   10.1.50.0       10.1.254.1       452     28 80000025            3
 Sum-Net   10.1.50.0       10.1.254.2       722     28 80000025            3
 Sum-Net   10.1.60.0       10.1.254.1       716     28 80000025            3
 Sum-Net   10.1.60.0       10.1.254.2       591     28 80000025            3
 Sum-Net   10.1.110.0      10.1.254.1       867     28 80000024            1
 Sum-Net   10.1.110.0      10.1.254.2       801     28 80000024            1
 Sum-Net   10.1.110.254    10.1.254.1       673     28 80000024            1
 Sum-Net   10.1.110.254    10.1.254.2       638     28 80000024            2
 Sum-Net   10.1.120.0      10.1.254.1       771     28 80000024            1
 Sum-Net   10.1.120.0      10.1.254.2       609     28 80000024            1
 Sum-Net   10.1.120.254    10.1.254.1       789     28 80000024            1
 Sum-Net   10.1.120.254    10.1.254.2      1399     28 80000024            2
 Sum-Net   10.1.200.0      10.1.254.1      1020     28 80000024            1
 Sum-Net   10.1.200.0      10.1.254.2       724     28 80000028            2
 Sum-Net   10.1.200.4      10.1.254.1       885     28 80000024            1
 Sum-Net   10.1.200.4      10.1.254.2       594     28 80000028            3
 Sum-Net   10.1.200.8      10.1.254.1        73     28 80000028            2
 Sum-Net   10.1.200.8      10.1.254.2       842     28 80000024            1
 Sum-Net   10.1.200.12     10.1.254.1       814     28 80000028            3
 Sum-Net   10.1.200.12     10.1.254.2       925     28 80000024            1
 Sum-Net   10.1.200.16     10.1.254.1       369     28 80000026            2
 Sum-Net   10.1.200.16     10.1.254.2       811     28 80000026            2
 Sum-Net   10.1.200.20     10.1.254.1       165     28 80000026            3
 Sum-Net   10.1.200.20     10.1.254.2       327     28 80000026            3
 Sum-Net   10.1.200.24     10.1.254.1       516     28 80000028            2
 Sum-Net   10.1.200.24     10.1.254.2       580     28 80000028            2
 Sum-Net   10.1.200.28     10.1.254.1       650     28 80000027            3
 Sum-Net   10.1.200.28     10.1.254.2       516     28 80000027            3
 Sum-Net   10.1.254.6      10.1.254.1       355     28 80000025            3
 Sum-Net   10.1.254.6      10.1.254.2       534     28 80000025            3
