
CPU utilization for five seconds: 0%/0%; one minute: 3%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1710     12899      0   0.00%   0.00%  0.00%   -    init
 1752          210      5776      0   0.00%   0.00%  0.00%   -    bfd
 1755          230      5573      0   0.00%   0.00%  0.00%   -    bfd_app
 1764           30        38      0   0.00%   0.01%  0.00%   S0    login
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         5520    133014      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         7230     78784      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         7670     67025      0   0.00%   0.01%  0.01%   -    platform
 3953           20       986      0   0.00%   0.00%  0.00%   -    klogd
 3957          340      9543      0   0.00%   0.00%  0.00%   -    vshd
 3960          470     20495      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      3131      0   0.00%   0.00%  0.00%   -    smm
 3962          490     19917      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          930     64667      0   0.00%   0.00%  0.00%   -    psshelper
 3964          520     20014      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    270361      0   0.00%   0.00%  0.00%   -    pdsd
 3966           60      1120      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          420     12891      0   0.00%   0.00%  0.00%   -    licmgr
 3968          270      1097      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          290      5674      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        56      1   0.00%   0.00%  0.00%   -    confcheck
 3971          340     10475      0   0.00%   0.00%  0.00%   -    capability
 3972          920     64102      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979           90      1080      0   0.00%   0.00%  0.00%   -    cisco
 3984         7560      8587      0   0.00%   0.00%  0.00%   -    clis
 3989          620      4248      0   0.00%   0.00%  0.00%   -    port-profile
 3996          550     21375      0   0.00%   0.00%  0.00%   -    xmlma
 3997          480     20315      0   0.00%   0.00%  0.00%   -    vmm
 3998          470      8058      0   0.00%   0.00%  0.00%   -    vman
 3999          560     20348      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          580     32050      0   0.00%   0.00%  0.00%   -    ttyd
 4001          180    119012      0   0.19%   0.19%  0.19%   -    sysinfo
 4002          870     64076      0   0.00%   0.00%  0.00%   -    sksd
 4004          200      1283      0   0.00%   0.00%  0.00%   -    res_mgr
 4005          910     64463      0   0.00%   0.00%  0.00%   -    plugin
 4006          130      2164      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          270      6651      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          530     20289      0   0.00%   0.00%  0.00%   -    module
 4012          220      6723      0   0.00%   0.00%  0.00%   -    evms
 4015          260      4889      0   0.00%   0.00%  0.00%   -    evmc
 4016          260      3228      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        34      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          490     20234      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          510      8078      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021         1170     64140      0   0.00%   0.00%  0.00%   -    securityd
 4022          870     64076      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023         1040     65508      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      4388      0   0.00%   0.00%  0.00%   -    l3vm
 4028           80     68101      0   0.00%   0.00%  0.00%   -    urib
 4034          950      1679      0   0.00%   0.00%  0.00%   -    aclmgr
 4037        75890   3391558      0   0.00%   0.11%  0.11%   -    ori_fwd
 4040        83880     65730      1   0.00%   0.12%  0.12%   -    port_client
 4044        29400     22692      1   0.00%   0.00%  0.00%   -    statsclient
 4045          420     20242      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4047         3530    701146      0   0.00%   0.01%  0.02%   -    snmpd
 4054          120      3494      0   0.00%   0.00%  0.00%   -    npacl
 4060           80   5108188      0   0.19%   0.05%  0.05%   -    adjmgr
 4062           70     14745      0   0.00%   0.00%  0.00%   -    u6rib
 4070          160        33      4   0.00%   0.00%  0.00%   -    ExceptionLog
 4072         1810     32399      0   0.00%   0.00%  0.00%   -    bootvar
 4076          530     10553      0   0.00%   0.00%  0.00%   -    ifmgr
 4079          320     10654      0   0.00%   0.00%  0.00%   -    tcap
 4083         1320     68508      0   0.00%   0.00%  0.00%   -    callhome
 4104          160     69765      0   0.00%   0.00%  0.00%   -    arp
 4109           70      4254      0   0.00%   0.00%  0.00%   -    icmpv6
 4131          130    443299      0   0.00%   0.03%  0.03%   -    l2fwd
 4132          100    371392      0   0.00%   0.03%  0.02%   -    pktmgr
 4159          150    928959      0   0.00%   0.04%  0.04%   -    netstack
 4198         1570     64117      0   0.00%   0.00%  0.00%   -    radius
 4201          820     20392      0   0.00%   0.00%  0.00%   -    cdp
 4204          620     21777      0   0.00%   0.00%  0.00%   -    cfs
 4209           10         7      1   0.00%   0.00%  0.00%   -    ip_dummy
 4210           10         7      1   0.00%   0.00%  0.00%   -    ipv6_dummy
 4211          360      4048      0   0.00%   0.00%  0.00%   -    ntp
 4214          470     20765      0   0.00%   0.00%  0.00%   -    otm
 4215           10         6      1   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4223           50        31      1   0.00%   0.00%  0.00%   -    dcos-xinetd
