
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
    1    159744  0           2052096     ffedf0f0/ffffffff  init
  447    176128  0           1810432     ff8ad200/ffffffff  getty
 1752   7827456  418483814   226746368   ff8502f0/ffffffff  bfd
 1755   2756608  224785395   171098112   ff98b480/ffffffff  bfd_app
 1764    806912  419430400   10797056    fff71980/ffffffff  login
 3338    167936  0           1925120     ffd27a10/ffffffff  portmap
 3376    167936  0           1888256     ffe962a0/ffffffff  rpc.statd
 3386   3960832  0           42840064    ffc03a60/ffffffff  sysmgr
 3936    585728  196164812   7548928     ffaec670/ffffffff  xinetd
 3937    679936  77364812    7364608     ffd7caf0/ffffffff  tftpd
 3938  11542528  138507635   59420672    fface070/ffffffff  syslogd
 3939   3063808  118801478   48328704    ffe64950/ffffffff  sdwrapd
 3940   1556480  104310976   46907392    ff947fb0/ffffffff  pfm_dummy
 3941  23941120  0           70479872    ffdc2950/ffffffff  platform
 3953    413696  138507635   6852608     ffbdec50/ffffffff  klogd
 3957   3477504  413669836   49893376    ffcc9580/ffffffff  vshd
 3960   4755456  390370393   102178816   ffd07aa0/ffffffff  vpc_config_sync
 3961   3776512  380823027   50118656    ff83c520/ffffffff  smm
 3962   4829184  176198457   50155520    fff97400/ffffffff  session-mgr
 3963   2256896  394325747   45010944    ff9c64d0/ffffffff  psshelper
 3964  17514496  344313446   69414912    ffe428c0/ffffffff  pixm
 3965  27222016  0           118509568   ffae30e0/ffffffff  pdsd
 3966    229376  0           2838528     ff8a9f30/ffffffff  lmgrd
 3967   2592768  120211238   53891072    ffbfc5a0/ffffffff  licmgr
 3968   1884160  0           47906816    ffd99250/ffffffff  fs-daemon
 3969   2097152  0           46268416    ff868150/ffffffff  feature-mgr
 3970   1871872  0           47202304    ff9ad5d0/ffffffff  confcheck
 3971   3149824  105450892   48451584    ffa40000/ffffffff  capability
 3972   2121728  394177062   44916736    ff80c5e0/ffffffff  psshelper_gsvc
 3979    225280  0           2859008     ffa6a3d0/ffffffff  cisco
 3984  14876672  711003110   115613696   ffe617a0/ffffffff  clis
 3989  63479808  1058489344  162869248   ffd15ee0/ffffffff  port-profile
 3996   1654784  0           46907392    ff986340/ffffffff  xmlma
 3997   1892352  116257152   46469120    ffa09770/ffffffff  vmm
 3998   4485120  138189075   57257984    ffbcd380/ffffffff  vman
 3999   3162112  193385984   53002240    ff840890/ffffffff  vdc_mgr
 4000   1921024  122001792   44863488    ff99fe10/ffffffff  ttyd
 4001   3149824  194470988   26632192    ff8a8480/ffffffff  sysinfo
 4002   1695744  119346656   49131520    ffee7020/ffffffff  sksd
 4004   2285568  200066944   50356224    ffb878a0/ffffffff  res_mgr
 4005   1916928  102549286   36757504    ffa49740/ffffffff  plugin
 4006   2396160  0           48787456    ffcf9d60/ffffffff  patch-installer
 4007   2330624  261576198   47534080    ff9ebec0/ffffffff  mvsh
 4008    425984  0           23855104    ff980570/ffffffff  mping_server
 4009   6623232  127084108   52826112    ff8cd650/ffffffff  module
 4012   2908160  115894873   49012736    ff9f8f40/ffffffff  evms
 4015   2473984  366224883   47796224    ffce46c0/ffffffff  evmc
 4016   3104768  481834355   49520640    ffdead90/ffffffff  crdcfg_server
 4017   1163264  0           43130880    ff9432e0/ffffffff  core-dmon
 4018   3428352  102098726   48545792    ffb854c0/ffffffff  cli_acl
 4020   2445312  1287871692  210526208   ffab40e0/ffffffff  ascii-cfg
 4021   1302528  0           44273664    ffebe8f0/ffffffff  securityd
 4022   3174400  0           56143872    ffab71d0/ffffffff  cert_enroll
 4023   2023424  0           48447488    fff76950/ffffffff  aaa
 4025    610304  0           7618560     ffa2f450/ffffffff  dhcpd
 4026   8962048  386315353   58855424    ff882bb0/ffffffff  l3vm
 4028   9719808  770412723   180572160   ff877780/ffffffff  urib
 4034   8077312  989670809   61579264    ff92be00/ffffffff  aclmgr
 4037  14049280  0           62214144    ffec2a60/ffffffff  ori_fwd
 4040  16306176  129298188   60817408    ffac4cb0/ffffffff  port_client
 4044   3743744  115493875   53391360    ff8d9800/ffffffff  statsclient
 4045   2719744  378538688   48078848    ffb2f9b0/ffffffff  eem_policy_dir
 4047  12468224  279505318   74252288    ff8296f0/ffffffff  snmpd
 4054   4239360  411857600   80097280    ffff34b0/ffffffff  npacl
 4060  22429696  499202342   224452608   fff679e0/ffffffff  adjmgr
 4062   7467008  486369984   198254592   fff0cc50/ffffffff  u6rib
 4070   2363392  153411315   47562752    ffc77750/ffffffff  ExceptionLog
 4072   1822720  150757516   49930240    ffd061f0/ffffffff  bootvar
 4076   7905280  131413990   60841984    ffbb8f20/ffffffff  ifmgr
 4079   3149824  0           49721344    ffc35f40/ffffffff  tcap
 4083   5517312  222329113   55918592    ffd208d0/ffffffff  callhome
 4104  55226368  622290828   300777472   fff5dab0/ffffffff  arp
 4109   8937472  495088320   235565056   ffd3c1c0/ffffffff  icmpv6
 4131  15781888  383801228   83517440    ffa76490/ffffffff  l2fwd
 4132  18079744  447208537   131846144   ff89d560/ffffffff  pktmgr
 4159  46436352  728239180   335732736   ffe7abc0/ffffffff  netstack
 4198   3383296  345193824   169877504   ffb85280/ffffffff  radius
 4201   3080192  319045504   170541056   ff97d3f0/ffffffff  cdp
 4204  11227136  444699059   59813888    ffa87220/ffffffff  cfs
 4209    417792  103569382   23822336    ffab1760/ffffffff  ip_dummy
 4210    417792  103569382   23822336    ffef4c20/ffffffff  ipv6_dummy
 4211   3244032  382418009   50855936    ff86d910/ffffffff  ntp
 4214   3944448  481815232   210845696   fff6ec40/ffffffff  otm
 4215    417792  103569382   23822336    ffe6db20/ffffffff  tcpudp_dummy
 4223   2056192  196164812   43098112    ffa0ef80/ffffffff  dcos-xinetd
 4251   1519616  0           42655744    ffdeaf40/ffffffff  ntpd
 4969  45924352  176498009   103755776   ffb33910/ffffffff  vlan_mgr
 4973   8593408  499215859   231473152   ffd23110/ffffffff  rpm
 4977   2863104  139198329   53444608    ffde7a90/ffffffff  pltfm_config
 4979   4980736  199220736   53538816    ffe45340/ffffffff  plsm
 4980   6184960  386180185   57331712    ffdd50b0/ffffffff  plcmgr
 4983  21864448  142504102   70811648    ffd2b740/ffffffff  pixmc
 4984   4513792  385206976   52346880    ff821cd0/ffffffff  pfstat
 4990   4771840  169681036   58208256    ffc1da60/ffffffff  mtm
 4996  73433088  350644236   124407808   ff814590/ffffffff  lim
 5001   4210688  121779187   52752384    ffb1f390/ffffffff  l2sfe
 5002  11866112  422846054   87916544    fffc3210/ffffffff  l2rib
 5005   4812800  121783692   51277824    ffc25030/ffffffff  l2fm_ut
 5008  21073920  734872409   261033984   ffde3700/ffffffff  igmp
 5013   5795840  128829113   57970688    ff83fcf0/ffffffff  eth_port_channel
 5014  13139968  145799033   65302528    fff120c0/ffffffff  eltm
 5019   2334720  121062796   49795072    ffa2cb00/ffffffff  elo_io
 5022   3178496  384179699   51810304    ffc64080/ffffffff  ecp
 5025   7467008  0           57757696    ff898ca0/ffffffff  dftm
 5031  28839936  191482368   78422016    ffd24dd0/ffffffff  bfdc
 5036   3198976  337312307   56311808    ffc43ec0/ffffffff  adbm
 5042  11149312  395223558   80281600    ffe94dc0/ffffffff  l2fm
 5094  12783616  255156800   230137856   ffab7a10/ffffffff  ethpm
 5132   9113600  388333721   111636480   ff8d6880/ffffffff  stp
 5521   5341184  339610163   59682816    ff98d4e0/ffffffff  copp
 5907   2740224  122184691   50741248    ffcff1a0/ffffffff  u2
 5908   6340608  773496064   56164352    ff9f3360/ffffffff  spm
 5909   2867200  485113331   188772352   fffbc7f0/ffffffff  sal
 5910  18501632  610554022   256774144   ffc06950/ffffffff  mrib
 5911  10092544  499649497   64000000    ffa92f00/ffffffff  mfdm
 5912   3018752  122081062   55160832    ffc7e7a0/ffffffff  mcm
 5913   7073792  489208921   226971648   ffe9ea40/ffffffff  m6rib
 5914   3112960  384873561   53415936    ffc32c70/ffffffff  l2pt
 5917  23916544  407225843   101900288   ffac7930/ffffffff  ufdm
 5920  10731520  525208921   61091840    ffd6a200/ffffffff  m2rib
 5921   8728576  441899980   238886912   fffb9b00/ffffffff  mcastfwd
 6037    323584  0           3084288     ff8505f0/ffffffff  gettylogin1
 6041    196608  0           2957312     ffce9130/ffffffff  sh
 6049  13033472  0           18337792    ff9de3d0/ffffffff  libvirtd
 8635   4980736  167892313   56926208    ffe4f8f0/ffffffff  interface-vlan
 8637  19189760  180266521   73478144    fff1fd70/ffffffff  lldp
25306   2818048  419430400   101244928   ffe46200/ffffffff  vsh

All processes: MemAlloc = 1030955008
