display mac-address
MAC Address      VLAN ID    State            Port/Nickname            Aging
0000-5e00-0104   40         Learned          HGE1/0/2                 Y
380b-0011-1200   40         Learned          HGE1/0/2                 Y
3810-0011-1200   40         Learned          HGE1/0/2                 Y
0000-5e00-0105   110        Learned          HGE1/0/1                 Y
1ae4-4462-2fbf   110        Learned          HGE1/0/1                 Y
380b-0011-1200   110        Learned          HGE1/0/1                 Y
3810-0011-1200   110        Learned          HGE1/0/1                 Y
4e2a-166a-48bf   110        Learned          HGE1/0/4                 Y
0000-5e00-0106   120        Learned          HGE1/0/1                 Y
380b-0011-1200   120        Learned          HGE1/0/1                 Y
3810-0011-1200   120        Learned          HGE1/0/1                 Y
