2026-06-16 10:58:36.310
PHY: Physical
*down: administratively down
(l): loopback
(s): spoofing
(b): BFD down
(d): Dampening Suppressed
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Eth-Trunk1                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/5(10G) up    up           0%     0%          0          0
  GigabitEthernet1/0/6(10G) up    up           0%     0%          0          0
Eth-Trunk2                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/1(10G) up    up           0%     0%          0          0
Eth-Trunk3                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/2(10G) up    up           0%     0%          0          0
Eth-Trunk4                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/4(10G) up    up           0%     0%          0          0
Eth-Trunk5                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/3(10G) up    up           0%     0%          0          0
GigabitEthernet0/0/0(10G)   down  down         0%     0%          0          0
GigabitEthernet1/0/0        down  down         0%     0%          0          0
GigabitEthernet1/0/7        down  down         0%     0%          0          0
GigabitEthernet1/0/8        down  down         0%     0%          0          0
GigabitEthernet1/0/9        down  down         0%     0%          0          0
LoopBack0                   up    up(s)        0%     0%          0          0
NULL0                       up    up(s)        0%     0%          0          0
Virtual-if0                 up    up(s)        --     --          0          0
