2026-06-16 10:59:24.240

	 OSPF Process 1 with Router ID 10.1.254.4
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1559  96    80000037       1
 Router    10.1.254.2      10.1.254.2        1517  72    80000030       1
 Router    10.1.254.1      10.1.254.1        1595  72    80000030       1
 Router    10.1.254.6      10.1.254.6         431  84    8000002C       1
 Router    10.1.254.4      10.1.254.4        1558  96    80000036    65500
 Sum-Net   10.1.200.28     10.1.254.4        1558  28    8000002F    65500
 Sum-Net   10.1.200.28     10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.200.24     10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.200.24     10.1.254.3        1559  28    80000030       1
 Sum-Net   10.1.10.0       10.1.254.1        1368  28    8000002E       1
 Sum-Net   10.1.10.0       10.1.254.2        1321  28    8000002E       1
 Sum-Net   10.1.10.254     10.1.254.1        1567  28    8000002F       2
 Sum-Net   10.1.10.254     10.1.254.2        1502  28    8000002F       1
 Sum-Net   10.1.20.0       10.1.254.1        1502  28    8000002E       1
 Sum-Net   10.1.20.0       10.1.254.2        1290  28    8000002E       1
 Sum-Net   10.1.20.254     10.1.254.1        1629  28    8000002E       2
 Sum-Net   10.1.20.254     10.1.254.2        1480  28    8000002F       1
 Sum-Net   10.1.60.0       10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.60.0       10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.110.0      10.1.254.1        1185  28    8000002E       1
 Sum-Net   10.1.110.0      10.1.254.2         144  28    8000002F       1
 Sum-Net   10.1.110.254    10.1.254.1        1548  28    8000002E       2
 Sum-Net   10.1.110.254    10.1.254.2        1636  28    8000002F       1
 Sum-Net   10.1.120.0      10.1.254.1        1435  28    8000002E       1
 Sum-Net   10.1.120.0      10.1.254.2        1654  28    8000002E       1
 Sum-Net   10.1.120.254    10.1.254.1        1702  28    8000002F       2
 Sum-Net   10.1.120.254    10.1.254.2        1580  28    8000002F       1
 Sum-Net   10.1.30.0       10.1.254.1        1526  28    8000002E       1
 Sum-Net   10.1.30.0       10.1.254.2        1522  28    8000002E       1
 Sum-Net   10.1.30.254     10.1.254.1        1047  28    8000002F       1
 Sum-Net   10.1.30.254     10.1.254.2        1053  28    8000002E       2
 Sum-Net   10.1.50.0       10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.50.0       10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.40.0       10.1.254.1        1546  28    8000002E       1
 Sum-Net   10.1.40.0       10.1.254.2        1350  28    8000002E       1
 Sum-Net   10.1.40.254     10.1.254.1        1143  28    8000002E       1
 Sum-Net   10.1.40.254     10.1.254.2        1126  28    8000002F       2

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1559  48    80000033       1
 Router    10.1.254.5      10.1.254.5        1009  96    80000031       1
 Router    10.1.254.4      10.1.254.4        1558  48    80000032    65500
 Sum-Net   10.1.254.6      10.1.254.3        1559  28    8000002E       2
 Sum-Net   10.1.254.6      10.1.254.4        1558  28    8000002E    65501
 Sum-Net   10.1.200.12     10.1.254.4        1558  28    8000002F    65500
 Sum-Net   10.1.200.12     10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.200.8      10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.200.8      10.1.254.3        1559  28    80000030       1
 Sum-Net   10.1.200.4      10.1.254.4        1558  28    8000002F    65500
 Sum-Net   10.1.200.4      10.1.254.3        1559  28    80000030       2
 Sum-Net   10.1.200.0      10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.200.0      10.1.254.3        1559  28    80000030       1
 Sum-Net   10.1.200.20     10.1.254.4        1558  28    8000002F    65500
 Sum-Net   10.1.200.20     10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.200.16     10.1.254.3        1559  28    8000002E       1
 Sum-Net   10.1.200.16     10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.10.0       10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.10.0       10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.10.254     10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.10.254     10.1.254.3        1454  28    80000032       2
 Sum-Net   10.1.20.0       10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.20.0       10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.20.254     10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.20.254     10.1.254.3        1454  28    80000032       2
 Sum-Net   10.1.110.0      10.1.254.4        1558  28    8000002F    65501
 Sum-Net   10.1.110.0      10.1.254.3        1559  28    8000002F       2
 Sum-Net   10.1.110.254    10.1.254.4        1558  28    8000002F    65501
