
-------------------------------------------------------------------------------
Interface                Description
-------------------------------------------------------------------------------
mgmt0                    --

-------------------------------------------------------------------------------
Port          Type   Speed   Description
-------------------------------------------------------------------------------
Eth2/1        eth    --      to_SZ_Server_Cluster1_eth0
Eth2/2        eth    --      to_SZ_Server_Cluster2_eth0
Eth2/3        eth    --      to_SZ_Server_Cluster3_eth0
Eth2/4        eth    --      to_SZ_AR_Ethernet1/0/0
Eth2/5        eth    --      --
Eth2/6        eth    --      --
Eth2/7        eth    --      --
Eth2/8        eth    --      --
Eth2/9        eth    --      --
Eth2/10       eth    --      --
Eth2/11       eth    --      --
Eth2/12       eth    --      --
Eth2/13       eth    --      --
Eth2/14       eth    --      --
Eth2/15       eth    --      --
Eth2/16       eth    --      --
Eth2/17       eth    --      --
Eth2/18       eth    --      --
Eth2/19       eth    --      --
Eth2/20       eth    --      --
Eth2/21       eth    --      --
Eth2/22       eth    --      --
Eth2/23       eth    --      --
Eth2/24       eth    --      --
Eth2/25       eth    --      --
Eth2/26       eth    --      --
Eth2/27       eth    --      --
Eth2/28       eth    --      --
Eth2/29       eth    --      --
Eth2/30       eth    --      --
Eth2/31       eth    --      --
Eth2/32       eth    --      --
Eth2/33       eth    --      --
Eth2/34       eth    --      --
Eth2/35       eth    --      --
Eth2/36       eth    --      --
Eth2/37       eth    --      --
Eth2/38       eth    --      --
Eth2/39       eth    --      --
Eth2/40       eth    --      --
Eth2/41       eth    --      --
Eth2/42       eth    --      --
Eth2/43       eth    --      --
Eth2/44       eth    --      --
Eth2/45       eth    --      --
Eth2/46       eth    --      --
Eth2/47       eth    --      --
Eth2/48       eth    --      --
Eth3/1        eth    --      --
Eth3/2        eth    --      --
Eth3/3        eth    --      --
Eth3/4        eth    --      --
Eth3/5        eth    --      --
Eth3/6        eth    --      --
Eth3/7        eth    --      --
Eth3/8        eth    --      --
Eth3/9        eth    --      --
Eth3/10       eth    --      --
Eth3/11       eth    --      --
Eth3/12       eth    --      --
Eth3/13       eth    --      --
Eth3/14       eth    --      --
Eth3/15       eth    --      --
Eth3/16       eth    --      --
Eth3/17       eth    --      --
Eth3/18       eth    --      --
Eth3/19       eth    --      --
Eth3/20       eth    --      --
Eth3/21       eth    --      --
Eth3/22       eth    --      --
Eth3/23       eth    --      --
Eth3/24       eth    --      --
Eth3/25       eth    --      --
Eth3/26       eth    --      --
Eth3/27       eth    --      --
Eth3/28       eth    --      --
Eth3/29       eth    --      --
Eth3/30       eth    --      --
Eth3/31       eth    --      --
Eth3/32       eth    --      --
Eth3/33       eth    --      --
Eth3/34       eth    --      --
Eth3/35       eth    --      --
Eth3/36       eth    --      --
Eth3/37       eth    --      --
Eth3/38       eth    --      --
Eth3/39       eth    --      --
Eth3/40       eth    --      --
Eth3/41       eth    --      --
Eth3/42       eth    --      --
Eth3/43       eth    --      --
Eth3/44       eth    --      --
Eth3/45       eth    --      --
Eth3/46       eth    --      --
Eth3/47       eth    --      --
Eth3/48       eth    --      --
Eth4/1        eth    --      --
Eth4/2        eth    --      --
Eth4/3        eth    --      --
Eth4/4        eth    --      --
Eth4/5        eth    --      --
Eth4/6        eth    --      --
Eth4/7        eth    --      --
Eth4/8        eth    --      --
Eth4/9        eth    --      --
Eth4/10       eth    --      --
Eth4/11       eth    --      --
Eth4/12       eth    --      --
Eth4/13       eth    --      --
Eth4/14       eth    --      --
Eth4/15       eth    --      --
Eth4/16       eth    --      --
Eth4/17       eth    --      --
Eth4/18       eth    --      --
Eth4/19       eth    --      --
Eth4/20       eth    --      --
Eth4/21       eth    --      --
Eth4/22       eth    --      --
Eth4/23       eth    --      --
Eth4/24       eth    --      --
Eth4/25       eth    --      --
Eth4/26       eth    --      --
Eth4/27       eth    --      --
Eth4/28       eth    --      --
Eth4/29       eth    --      --
Eth4/30       eth    --      --
Eth4/31       eth    --      --
Eth4/32       eth    --      --
Eth4/33       eth    --      --
Eth4/34       eth    --      --
Eth4/35       eth    --      --
Eth4/36       eth    --      --
Eth4/37       eth    --      --
Eth4/38       eth    --      --
Eth4/39       eth    --      --
Eth4/40       eth    --      --
Eth4/41       eth    --      --
Eth4/42       eth    --      --
Eth4/43       eth    --      --
Eth4/44       eth    --      --
Eth4/45       eth    --      --
Eth4/46       eth    --      --
Eth4/47       eth    --      --
Eth4/48       eth    --      --
