CPU utilization statistics at 2026-06-17 03:08:26 307 ms
System CPU Using Percentage :   5%
CPU utilization for five seconds: 5%, one minute: 5%, five minutes: 5%.
Max CPU Usage :                10%
Max CPU Usage Stat. Time : 2026-06-16 03:35:39 655 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM            5%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
LLDP              0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime
----------------------------------------------------------------
cpu0        70%      69%      67%      77%  89% 2026-06-16 03:36:09
cpu1        18%      17%      17%      21%  26% 2026-06-16 08:19:39
cpu2         5%       5%       5%       4%  25% 2026-06-16 16:32:20
cpu3         4%       4%       4%       4%  99% 2026-06-16 14:54:49
cpu4         4%       4%       4%       4%  33% 2026-06-16 14:59:49
cpu5         4%       4%       4%       4%  18% 2026-06-16 16:36:20
cpu6         4%       4%       4%       4%  12% 2026-06-16 15:24:00
cpu7         4%       4%       4%       4%  11% 2026-06-16 17:47:59
cpu8         5%       5%       4%       4%  16% 2026-06-16 16:38:50
cpu9         4%       4%       4%       4%  11% 2026-06-16 17:47:59
cpu10        4%       4%       4%       4%  17% 2026-06-16 16:37:00
cpu11        4%       4%       4%       4%  92% 2026-06-16 08:17:29
cpu12        4%       4%       4%       4%  99% 2026-06-16 15:00:39
cpu13        4%       4%       4%       3%   8% 2026-06-16 16:45:49
cpu14        4%       4%       4%       3%  99% 2026-06-16 14:49:09
cpu15        4%       4%       4%       3%  99% 2026-06-16 14:57:09
cpu16        4%       4%       4%       3%  83% 2026-06-16 03:35:29
cpu17        4%       4%       4%       3%  18% 2026-06-16 03:35:49
cpu18        4%       4%       5%       3%   9% 2026-06-16 03:35:49
cpu19        4%       4%       4%       3%  99% 2026-06-16 14:58:09
cpu20        5%       5%       4%       2%  13% 2026-06-16 15:32:30
cpu21       34%      24%       7%       7%  99% 2026-06-16 06:24:50
