Route Flags: R - relay, D - download to fib, T - to vpn-instance, B - black hole route
------------------------------------------------------------------------------
Routing Table : _public_
         Destinations : 14       Routes : 15

Destination/Mask    Proto   Pre  Cost        Flags NextHop                                  Interface

        1.1.1.1/32  Direct  0    0             D   127.0.0.1                                LoopBack0
        2.2.2.2/32  ISIS-L2 15   10            D   10.10.0.2                                Ethernet1/0/1
        3.3.3.3/32  ISIS-L2 15   10            D   10.10.0.6                                Ethernet1/0/2
      10.10.0.0/30  Direct  0    0             D   10.10.0.1                                Ethernet1/0/1
      10.10.0.1/32  Direct  0    0             D   127.0.0.1                                Ethernet1/0/1
      10.10.0.3/32  Direct  0    0             D   127.0.0.1                                Ethernet1/0/1
      10.10.0.4/30  Direct  0    0             D   10.10.0.5                                Ethernet1/0/2
      10.10.0.5/32  Direct  0    0             D   127.0.0.1                                Ethernet1/0/2
      10.10.0.7/32  Direct  0    0             D   127.0.0.1                                Ethernet1/0/2
      10.10.0.8/30  ISIS-L2 15   20            D   10.10.0.2                                Ethernet1/0/1
                    ISIS-L2 15   20            D   10.10.0.6                                Ethernet1/0/2
      127.0.0.0/8   Direct  0    0             D   127.0.0.1                                InLoopBack0
      127.0.0.1/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
127.255.255.255/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
255.255.255.255/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
