 Total VPN-Instances configured      : 10
 Total IPv4 VPN-Instances configured : 10
 Total IPv6 VPN-Instances configured : 0

  VPN-Instance Name               RD                    Address-family
  ext_vrf101                      20:5002               IPv4          
  lb-vpn                          21:660                IPv4          
  vpn1                            61:1                  IPv4          
  vpn2                            61:2                  IPv4          
  vpn3                            61:3                  IPv4          
  vpn4                            61:4                  IPv4          
  vpn5                            61:5                  IPv4          
  vpn6                            61:6                  IPv4          
  vrf101                          20:5001               IPv4          
  vrf103                          20:5003               IPv4          
