
OSPF Process 100 with Router ID 3.3.3.4
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    3.3.3.1         3.3.3.1         1495     96 8000002c            5
 Router    3.3.3.2         3.3.3.2          476     60 8000002c            1
 Router    3.3.3.3         3.3.3.3         1616     60 8000002c            1
 Router    3.3.3.4         3.3.3.4         1015     60 8000002c            1
 Router    3.3.3.5         3.3.3.5         1427     60 8000002c            1
 Router    3.3.3.6         3.3.3.6         1039     60 8000002c            5
 Network   8.6.12.1        3.3.3.1          623     32 8000002a            0
 Network   8.6.13.1        3.3.3.1          684     32 8000002a            0
 Network   8.6.24.4        3.3.3.4         1095     32 8000002a            0
 Network   8.6.35.5        3.3.3.5         1217     32 8000002a            0
 Network   8.6.46.4        3.3.3.4         1057     32 8000002a            0
 Network   8.6.56.6        3.3.3.6         1113     32 8000002a            0
