2026-06-03 09:14:09.730 

	 OSPF Process 10 with Router ID 2.1.3.1
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    8.6.6.1         8.6.6.1           1273  60    8000002B       1
 Router    2.1.3.1         2.1.3.1           1409  36    8000002B       1
 Network   8.6.6.1         8.6.6.1           1115  32    8000002A       0
 Sum-Net   30.0.0.0        8.6.6.1            890  28    8000002B       2
 

		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  20.1.1.0        2.1.3.1           1419  36    80000029       1
 External  20.1.4.0        2.1.3.1           1419  36    80000029       1
 External  20.1.5.0        2.1.3.1           1419  36    80000029       1
 External  20.1.2.0        2.1.3.1           1419  36    80000029       1
 External  20.1.3.0        2.1.3.1           1419  36    80000029       1
 External  10.1.103.0      8.6.6.1           1333  36    8000002A       2
 External  10.1.101.0      8.6.6.1            748  36    8000002A       2
 External  1.1.1.0         8.6.6.1           1368  36    8000002A       2
 
