PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
(ed): error down
Interface                     PHY     Protocol Description                     
GE1/0/0                       *down   down                                     
GE1/0/1                       up      up       To-PJGFA-S-01-GE1/0/3           
GE1/0/2                       up      up       To-PJGFA-S-02-GE1/0/3           
GE1/0/3                       up      up       To-PJGFA-PC1-GE1/0/0            
GE1/0/3.1                     up      up                                       
GE1/0/3.2                     up      up                                       
GE1/0/3.3                     up      up                                       
GE1/0/3.4                     up      up                                       
GE1/0/3.5                     up      up                                       
GE1/0/3.6                     up      up                                       
GE1/0/4                       *down   down                                     
GE1/0/5                       *down   down                                     
GE1/0/6                       *down   down                                     
GE1/0/7                       *down   down                                     
GE1/0/8                       *down   down                                     
GE1/0/9                       *down   down                                     
GE1/1/0                       *down   down                                     
GE1/1/1                       *down   down                                     
GE1/1/2                       *down   down                                     
GE1/1/3                       *down   down                                     
GE1/1/4                       *down   down                                     
GE1/1/5                       *down   down                                     
GE1/1/6                       *down   down                                     
GE1/1/7                       *down   down                                     
GE1/1/8                       *down   down                                     
GE1/1/9                       *down   down                                     
GE2/0/0                       *down   down                                     
GE2/0/1                       *down   down                                     
GE2/0/2                       *down   down                                     
GE2/0/3                       *down   down                                     
GE2/0/4                       *down   down                                     
GE2/0/5                       *down   down                                     
GE2/0/6                       *down   down                                     
GE2/0/7                       *down   down                                     
GE2/0/8                       *down   down                                     
GE2/0/9                       *down   down                                     
GE2/1/0                       *down   down                                     
GE2/1/1                       *down   down                                     
GE2/1/2                       *down   down                                     
GE2/1/3                       *down   down                                     
GE2/1/4                       *down   down                                     
GE2/1/5                       *down   down                                     
GE2/1/6                       *down   down                                     
GE2/1/7                       *down   down                                     
GE2/1/8                       *down   down                                     
GE2/1/9                       *down   down                                     
Loop0                         up      up(s)                                    
MEth0/0/0                     up      down                                     
NULL0                         up      up(s)                                    
Nve1                          up      up                                       
Vbdif10                       up      up                                       
Vbdif20                       up      up                                       
Vbdif30                       up      up                                       
Vbdif40                       up      up                                       
Vbdif50                       up      up                                       
Vbdif60                       up      up                                       
