
OSPF Process 1 with Router ID 2.1.2.2
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1071     84 8000002e            1
 Router    2.1.1.2         2.1.1.2         1447     84 8000002e            1
 Router    2.1.2.1         2.1.2.1         1100     60 8000002c            1
 Router    2.1.2.2         2.1.2.2         1045     60 8000002c            1
 Router    2.1.5.1         2.1.5.1          835     84 8000002e            1
 Router    2.1.5.2         2.1.5.2          659     60 8000002c            1
 Network   182.158.1.2     2.1.5.1          801     32 8000002a            0
 Network   182.158.1.6     2.1.5.2          645     32 8000002a            0
 Network   182.158.1.9     2.1.1.2          929     32 8000002a            0
 Network   182.158.1.14    2.1.5.2         1374     32 8000002a            0
 Network   182.158.2.2     2.1.2.1         1439     32 8000002a            0
 Network   182.158.2.6     2.1.2.2          992     32 8000002a            0
 Network   182.158.2.10    2.1.2.1          789     32 8000002a            0
 Network   182.158.2.13    2.1.1.2         1392     32 8000002a            0
