
OSPF Process 1 with Router ID 1.1.2.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1          924     84 8000002e            1
 Router    1.1.1.2         1.1.1.2          980     84 8000002d            1
 Router    1.1.2.1         1.1.2.1         1235     60 8000002c            1
 Router    1.1.2.2         1.1.2.2         1028     60 8000002c            1
 Router    1.1.5.1         1.1.5.1          713     48 8000002b            1
 Router    1.1.5.2         1.1.5.2          966     60 8000002c            1
 Network   192.168.1.2     1.1.5.1         1275     32 8000002a            0
 Network   192.168.1.6     1.1.5.2          724     32 8000002a            0
 Network   192.168.1.14    1.1.5.2         1122     32 8000002a            0
 Network   192.168.2.2     1.1.2.1         1304     32 8000002a            0
 Network   192.168.2.5     1.1.1.1         1354     32 8000002a            0
 Network   192.168.2.10    1.1.2.1         1188     32 8000002a            0
 Network   192.168.2.13    1.1.1.2          774     32 8000002a            0
