
OSPF Process 1 with Router ID 1.1.1.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1          830     84 8000002e            1
 Router    1.1.1.2         1.1.1.2          885     84 8000002d            1
 Router    1.1.2.1         1.1.2.1         1141     60 8000002c            1
 Router    1.1.2.2         1.1.2.2          933     60 8000002c            1
 Router    1.1.5.1         1.1.5.1          620     48 8000002b            1
 Router    1.1.5.2         1.1.5.2          870     60 8000002c            1
 Network   192.168.1.2     1.1.5.1         1182     32 8000002a            0
 Network   192.168.1.6     1.1.5.2          628     32 8000002a            0
 Network   192.168.1.14    1.1.5.2         1027     32 8000002a            0
 Network   192.168.2.2     1.1.2.1         1210     32 8000002a            0
 Network   192.168.2.5     1.1.1.1         1260     32 8000002a            0
 Network   192.168.2.10    1.1.2.1         1094     32 8000002a            0
 Network   192.168.2.13    1.1.1.2          678     32 8000002a            0
