
OSPF Process 1 with Router ID 1.1.1.2

 Routing for Network
 ------------------------------------------------------------------------------
 Destination            Cost Type       Next-Hop        AdvRouter       Area           
 1.1.1.1/32                2 Stub       192.168.2.14    1.1.1.1         0.0.0.0        
 1.1.1.1/32                2 Stub       192.168.2.10    1.1.1.1         0.0.0.0        
 1.1.1.1/32                2 Stub       192.168.1.14    1.1.1.1         0.0.0.0        
 1.1.1.2/32                0 Direct     1.1.1.2         1.1.1.2         0.0.0.0        
 1.1.2.1/32                1 Stub       192.168.2.10    1.1.2.1         0.0.0.0        
 1.1.2.2/32                1 Stub       192.168.2.14    1.1.2.2         0.0.0.0        
 1.1.5.1/32                3 Stub       192.168.2.14    1.1.5.1         0.0.0.0        
 1.1.5.1/32                3 Stub       192.168.2.10    1.1.5.1         0.0.0.0        
 1.1.5.1/32                3 Stub       192.168.1.14    1.1.5.1         0.0.0.0        
 1.1.5.2/32                1 Stub       192.168.1.14    1.1.5.2         0.0.0.0        
 192.168.1.0/30            3 Transit    192.168.2.14    1.1.5.1         0.0.0.0        
 192.168.1.0/30            3 Transit    192.168.2.10    1.1.5.1         0.0.0.0        
 192.168.1.0/30            3 Transit    192.168.1.14    1.1.5.1         0.0.0.0        
 192.168.1.4/30            2 Transit    192.168.1.14    1.1.5.2         0.0.0.0        
 192.168.1.8/30            1 Direct     192.168.1.9     1.1.1.2         0.0.0.0        
 192.168.1.12/30           1 Direct     192.168.1.13    1.1.1.2         0.0.0.0        
 192.168.2.0/30            2 Transit    192.168.2.10    1.1.2.1         0.0.0.0        
 192.168.2.4/30            2 Transit    192.168.2.14    1.1.1.1         0.0.0.0        
 192.168.2.8/30            1 Direct     192.168.2.9     1.1.1.2         0.0.0.0        
 192.168.2.12/30           1 Direct     192.168.2.13    1.1.1.2         0.0.0.0        

 Total Nets: 14
 Intra Area: 14  Inter Area: 0  ASE: 0  NSSA: 0
