CPU utilization statistics at 2026-06-04 08:35:32 291 ms
System CPU Using Percentage :  11%
CPU utilization for five seconds: 11%, one minute: 12%, five minutes: 11%.
Max CPU Usage :                14%
Max CPU Usage Stat. Time : 2026-06-04 08:30:37 564 ms
State: Non-overload
Overload threshold:  90%, Overload clear threshold:  75%, Duration:  480s
---------------------------
ServiceName  UseRate
---------------------------
SYSTEM           11%
AAA               0%
ARP               0%
CMF               0%
DEVICE            0%
EUM               0%
FEA               0%
FEC               0%
FIBRESM           0%
IFM               0%
IP STACK          0%
L2VPN             0%
LDP               0%
LOCAL PKT         0%
MSTP              0%
ND                0%
OAM               0%
OSPF              0%
PNP               0%
RGM               0%
RM                0%
SLA               0%
SMLK              0%
SVRO              0%
TNLM              0%
TUNNEL            0%
VLAN              0%
---------------------------
CPU Usage Details
----------------------------------------------------------------
CPU     Current  FiveSec   OneMin  FiveMin  Max MaxTime         
----------------------------------------------------------------
cpu0        88%      88%      90%      82%  90% 2026-06-04 08:34:37
cpu1        28%      28%      28%      25%  38% 2026-06-04 06:19:26
cpu2         4%       5%       6%       4%  96% 2026-06-04 05:51:07
cpu3         4%       4%       5%       4%  97% 2026-06-04 03:12:17
cpu4         4%       4%       5%       4%  96% 2026-06-04 02:05:17
cpu5         4%       3%       5%       4%  96% 2026-06-04 05:37:17
cpu6         4%       3%       5%       4%  96% 2026-06-04 06:40:07
cpu7         4%       3%       5%       4%  96% 2026-06-04 02:22:57
cpu8         4%       3%       5%       4%  99% 2026-06-04 03:53:07
cpu9         3%       3%       5%       5%  97% 2026-06-04 03:25:57
cpu10        3%       3%       5%       4%  97% 2026-06-04 02:44:17
cpu11        3%       4%       6%       4%  95% 2026-06-04 02:08:17
cpu12        3%       3%       6%       9%  32% 2026-06-04 08:32:37
cpu13        3%       3%       5%       5%  96% 2026-06-04 04:48:27
cpu14        4%       4%       6%       4%  27% 2026-06-04 07:42:57
cpu15       99%      99%     100%      99%  99% 2026-06-04 02:11:17
cpu16        4%       4%       6%       4%  45% 2026-06-04 05:09:17
cpu17        3%       3%       8%       5%  95% 2026-06-04 05:10:47
cpu18        3%       3%       5%      12%  59% 2026-06-04 08:30:47
cpu19        3%       3%       4%       4%  96% 2026-06-04 03:55:27
cpu20        6%       7%       7%      10%  37% 2026-06-04 06:07:37
cpu21        6%       6%       7%       7%  99% 2026-06-04 02:05:17
cpu22       17%      27%      47%      15%  99% 2026-06-04 04:33:27
cpu23       70%      70%      39%      22%  99% 2026-06-04 02:33:47
cpu24        7%       7%       8%      16%  99% 2026-06-04 02:35:27
cpu25        7%       7%       8%       6%  99% 2026-06-04 03:41:17
cpu26        7%       7%      14%       9%  99% 2026-06-04 02:38:47
cpu27        7%       7%      20%      10%  99% 2026-06-04 02:23:07
cpu28        8%       7%       8%       6%  99% 2026-06-04 06:12:07
cpu29        8%       8%      15%      42%  99% 2026-06-04 03:00:37
cpu30        7%       7%       7%       5%  99% 2026-06-04 03:01:37
cpu31        7%       7%       7%       6%  99% 2026-06-04 06:24:07
cpu32        7%       7%       7%      10%  99% 2026-06-04 04:24:07
