Proto: Protocol        Pre: Preference
Route Flags: R - relay, D - download to fib, T - to vpn-instance, B - black hole route
------------------------------------------------------------------------------
Routing Table : _public_
         Destinations : 40       Routes : 40        

Destination/Mask    Proto   Pre  Cost        Flags NextHop                                  Interface

        1.1.1.0/24  O_ASE   150  1             D   8.6.56.5                                 GE1/0/2
        3.3.3.1/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
        3.3.3.2/32  OSPF    10   2             D   8.6.46.4                                 GE1/0/1
        3.3.3.3/32  OSPF    10   2             D   8.6.56.5                                 GE1/0/2
        3.3.3.4/32  OSPF    10   1             D   8.6.46.4                                 GE1/0/1
        3.3.3.5/32  OSPF    10   1             D   8.6.56.5                                 GE1/0/2
        3.3.3.6/32  Direct  0    0             D   127.0.0.1                                LoopBack0
        8.6.6.0/24  Direct  0    0             D   8.6.6.1                                  GE1/0/0
        8.6.6.1/32  Direct  0    0             D   127.0.0.1                                GE1/0/0
      8.6.6.255/32  Direct  0    0             D   127.0.0.1                                GE1/0/0
       8.6.12.0/24  OSPF    10   3             D   8.6.46.4                                 GE1/0/1
       8.6.13.0/24  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.6.24.0/24  OSPF    10   2             D   8.6.46.4                                 GE1/0/1
       8.6.35.0/24  OSPF    10   2             D   8.6.56.5                                 GE1/0/2
       8.6.46.0/24  Direct  0    0             D   8.6.46.6                                 GE1/0/1
       8.6.46.6/32  Direct  0    0             D   127.0.0.1                                GE1/0/1
     8.6.46.255/32  Direct  0    0             D   127.0.0.1                                GE1/0/1
       8.6.56.0/24  Direct  0    0             D   8.6.56.6                                 GE1/0/2
       8.6.56.6/32  Direct  0    0             D   127.0.0.1                                GE1/0/2
     8.6.56.255/32  Direct  0    0             D   127.0.0.1                                GE1/0/2
        8.8.8.5/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.8.8.10/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.8.8.15/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.8.8.20/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.8.8.25/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
       8.8.8.30/32  OSPF    10   3             D   8.6.56.5                                 GE1/0/2
        9.9.9.5/32  Direct  0    0             D   127.0.0.1                                LoopBack5
       9.9.9.10/32  Direct  0    0             D   127.0.0.1                                LoopBack10
     10.1.101.0/24  O_ASE   150  1             D   8.6.56.5                                 GE1/0/2
     10.1.103.0/24  O_ASE   150  1             D   8.6.56.5                                 GE1/0/2
       20.1.1.0/24  O_ASE   150  1             D   8.6.6.2                                  GE1/0/0
       20.1.2.0/24  O_ASE   150  1             D   8.6.6.2                                  GE1/0/0
       20.1.3.0/24  O_ASE   150  1             D   8.6.6.2                                  GE1/0/0
       20.1.4.0/24  O_ASE   150  1             D   8.6.6.2                                  GE1/0/0
       20.1.5.0/24  O_ASE   150  1             D   8.6.6.2                                  GE1/0/0
       30.0.0.0/24  OSPF    10   4             D   8.6.56.5                                 GE1/0/2
      127.0.0.0/8   Direct  0    0             D   127.0.0.1                                InLoopBack0
      127.0.0.1/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
127.255.255.255/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
255.255.255.255/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
------------------------------------------------------------------------------
Routing Table : mpls1
         Destinations : 1        Routes : 1         

Destination/Mask    Proto   Pre  Cost        Flags NextHop                                  Interface

255.255.255.255/32  Direct  0    0             D   127.0.0.1                                InLoopBack0
