
OSPF Process 100 with Router ID 3.3.3.6
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.3.1         2.1.3.1         1203     36 8000000f            1
 Router    3.3.3.1         3.3.3.1          883    144 80000013            1
 Router    3.3.3.2         3.3.3.2          160     60 80000010            1
 Router    3.3.3.3         3.3.3.3         1562     60 8000000f            1
 Router    3.3.3.4         3.3.3.4         1614     60 8000000f            1
 Router    3.3.3.5         3.3.3.5         1270     60 8000000f            1
 Router    3.3.3.6         3.3.3.6         1541     96 80000010            1
 Router    30.0.0.1        30.0.0.1         141     36 8000000f            1
 Network   8.6.6.1         3.3.3.6         1635     32 8000000d            0
 Network   8.6.12.1        3.3.3.1         1825     32 8000000d            0
 Network   8.6.13.1        3.3.3.1          342     32 8000000e            0
 Network   8.6.24.4        3.3.3.4         1740     32 8000000d            0
 Network   8.6.35.5        3.3.3.5         1602     32 8000000d            0
 Network   8.6.46.6        3.3.3.6         1535     32 8000000d            0
 Network   8.6.56.6        3.3.3.6          315     32 8000000e            0
 Network   30.0.0.1        30.0.0.1          83     32 8000000e            0

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  1.1.1.0         30.0.0.1        1870     36 8000000d            1
 External  10.1.101.0      30.0.0.1          61     36 8000000e            1
 External  10.1.103.0      30.0.0.1          74     36 8000000e            1
 External  20.1.1.0        2.1.3.1         1210     36 8000000d            1
 External  20.1.2.0        2.1.3.1         1210     36 8000000d            1
 External  20.1.3.0        2.1.3.1         1210     36 8000000d            1
 External  20.1.4.0        2.1.3.1         1210     36 8000000d            1
 External  20.1.5.0        2.1.3.1         1210     36 8000000d            1
