
OSPF Process 1 with Router ID 2.1.5.2
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1735     84 80000011            1
 Router    2.1.1.2         2.1.1.2         1703     84 80000011            1
 Router    2.1.2.1         2.1.2.1         1551     60 8000000f            1
 Router    2.1.2.2         2.1.2.2          112     60 80000010            1
 Router    2.1.5.1         2.1.5.1           41     84 80000012            1
 Router    2.1.5.2         2.1.5.2         1422     60 8000000f            1
 Network   182.158.1.2     2.1.5.1         1325     32 8000000d            0
 Network   182.158.1.5     2.1.1.1          119     32 8000000e            0
 Network   182.158.1.10    2.1.5.1           62     32 8000000e            0
 Network   182.158.1.13    2.1.1.2          146     32 8000000e            0
 Network   182.158.2.1     2.1.1.1         1710     32 8000000d            0
 Network   182.158.2.5     2.1.1.1          102     32 8000000e            0
 Network   182.158.2.9     2.1.1.2           20     32 8000000e            0
 Network   182.158.2.13    2.1.1.2         1674     32 8000000d            0
