2026-06-04 08:36:14.350 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.6%  Max:  51.8% 
CPU utilization for ten seconds:   4.6% : one minute:   4.8% : five minutes:   4.6% 

PID   ProcessName         CPU       Runtime     State
1890  fpath.out           2.9%      130190      S
1634  vrp                 1.0%      48528       S
1651  vrpio_s             0.2%      11183       S
1892  slb_proxy.out       0.1%      3991        S
1899  ike.out             0.1%      1540        S
1906  nge.out             0.0%      19166       S
1904  restful.out         0.0%      1779        S
1891  nlog.out            0.0%      1778        S
1900  am.out              0.0%      1286        S
1902  auth.out            0.0%      887         S
1667  procmgmt.out        0.0%      734         S
1894  svn.out             0.0%      299         S
1897  mail_send.out       0.0%      271         S
1909  hc_https_client.out  0.0%      145         S
1907  netopeer-server.out  0.0%      69          S
1905  disk_smart.out      0.0%      37          S
1901  umdb.out            0.0%      26          S
1908  svnupgrade.out      0.0%      26          S
1893  mail_proxy.out      0.0%      1           S
1896  aapt.out            0.0%      1           S
1898  tcpproxy.out        0.0%      1           S
1933  sshd.out            0.0%      1           S
1895  rbl.out             0.0%      0           S
