Number of vxlan vni : 12
VNI            BD-ID            State
---------------------------------------
101            101              up          
103            103              up          
201            201              down        
202            202              down        
203            203              down        
5000           5000             down        
8010           8010             up          
8020           8020             up          
8030           8030             up          
8040           8040             up          
8050           8050             up          
8060           8060             up          
