2026-06-04 01:43:45.030 
PHY: Physical
*down: administratively down
(l): loopback
(s): spoofing
(b): BFD down
(d): Dampening Suppressed
InUti/OutUti: input utility/output utility
Interface                   PHY   Protocol  InUti OutUti   inErrors  outErrors
Eth-Trunk0                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/0(10G) up    up           0%     0%          0          0
  GigabitEthernet1/0/1(10G) up    up           0%     0%          0          0
Eth-Trunk2                  up    up        0.01%  0.01%          0          0
  GigabitEthernet1/0/2(10G) up    up           0%     0%          0          0
GigabitEthernet0/0/0(10G)   down  down         0%     0%          0          0
GigabitEthernet1/0/3(10G)   up    down         0%     0%          0          0
GigabitEthernet1/0/4        down  down         0%     0%          0          0
GigabitEthernet1/0/5        down  down         0%     0%          0          0
GigabitEthernet1/0/6        down  down         0%     0%          0          0
GigabitEthernet1/0/7        down  down         0%     0%          0          0
GigabitEthernet1/0/8        down  down         0%     0%          0          0
GigabitEthernet1/0/9        down  down         0%     0%          0          0
LoopBack0                   up    up(s)        0%     0%          0          0
NULL0                       up    up(s)        0%     0%          0          0
Virtual-if0                 up    up(s)        --     --          0          0
Virtual-if1                 up    up(s)        --     --          0          0
Virtual-if2                 up    up(s)        --     --          0          0
Vlanif201                   up    up           --     --          0          0
Vlanif202                   up    up           --     --          0          0
Vlanif203                   up    up           --     --          0          0
