PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(b): BFD down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(dl): DLDP down
(c): CFM down
(ed): error down
Interface                     PHY     Protocol Description                     
GE1/0/0                       *down   down                                     
GE1/0/1                       *down   down                                     
GE1/0/2                       *down   down                                     
GE1/0/3                       *down   down                                     
GE1/0/4                       up      up                                       
GE1/0/5                       *down   down                                     
GE1/0/6                       *down   down                                     
GE1/0/7                       *down   down                                     
GE1/0/8                       *down   down                                     
GE1/0/9                       *down   down                                     
GE1/1/0                       *down   down                                     
GE1/1/1                       *down   down                                     
GE1/1/2                       *down   down                                     
GE1/1/3                       *down   down                                     
GE1/1/4                       *down   down                                     
GE1/1/5                       *down   down                                     
GE1/1/6                       *down   down                                     
GE1/1/7                       *down   down                                     
GE1/1/8                       *down   down                                     
GE1/1/9                       *down   down                                     
GE2/0/0                       *down   down                                     
GE2/0/1                       *down   down                                     
GE2/0/2                       *down   down                                     
GE2/0/3                       *down   down                                     
GE2/0/4                       *down   down                                     
GE2/0/5                       *down   down                                     
GE2/0/6                       *down   down                                     
GE2/0/7                       *down   down                                     
GE2/0/8                       *down   down                                     
GE2/0/9                       *down   down                                     
GE2/1/0                       *down   down                                     
GE2/1/1                       *down   down                                     
GE2/1/2                       *down   down                                     
GE2/1/3                       *down   down                                     
GE2/1/4                       *down   down                                     
GE2/1/5                       *down   down                                     
GE2/1/6                       *down   down                                     
GE2/1/7                       *down   down                                     
GE2/1/8                       *down   down                                     
GE2/1/9                       *down   down                                     
MEth0/0/0                     up      down                                     
NULL0                         up      up(s)                                    
Vlanif10                      up      up                                       
Vlanif20                      up      up                                       
Vlanif30                      up      up                                       
Vlanif40                      up      up                                       
Vlanif50                      up      up                                       
Vlanif60                      up      up                                       
Vlanif70                      up      up                                       
