2026-06-04 02:10:51.690 
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 10
The number of interface that is DOWN in Physical is 10
The number of interface that is UP in Protocol is 9
The number of interface that is DOWN in Protocol is 11

Interface                         IP Address/Mask      Physical   Protocol  
Eth-Trunk2                        unassigned           down       down      
Eth-Trunk2.1001                   unassigned           down       down      
GigabitEthernet0/0/0(10G)         192.168.0.1/24       down       down      
GigabitEthernet1/0/0              unassigned           down       down      
GigabitEthernet1/0/1(10G)         unassigned           up         down      
GigabitEthernet1/0/2(10G)         8.6.6.2/24           up         up        
GigabitEthernet1/0/4              unassigned           *down      down      
GigabitEthernet1/0/5              unassigned           down       down      
GigabitEthernet1/0/6              unassigned           down       down      
GigabitEthernet1/0/7              unassigned           down       down      
GigabitEthernet1/0/8              unassigned           down       down      
GigabitEthernet1/0/9              unassigned           down       down      
LoopBack0                         2.1.3.1/32           up         up(s)     
NULL0                             unassigned           up         up(s)     
Virtual-if0                       unassigned           up         up(s)     
Vlanif10                          20.1.6.2/28          up         up        
Vlanif20                          20.1.6.18/28         up         up        
Vlanif30                          20.1.6.34/28         up         up        
Vlanif40                          20.1.6.50/28         up         up        
Vlanif50                          20.60.1.2/28         up         up        
