2026-06-04 02:10:52.590 

	 OSPF Process 100 with Router ID 2.1.3.1
		  Routing Tables 

 Routing for Network 
 Destination        Cost  Type       NextHop         AdvRouter       Area
 8.6.6.0/24         1     Transit    8.6.6.2         2.1.3.1         0.0.0.0
 3.3.3.1/32         4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 3.3.3.2/32         3     Stub       8.6.6.1         3.3.3.2         0.0.0.0
 3.3.3.3/32         3     Stub       8.6.6.1         3.3.3.3         0.0.0.0
 3.3.3.4/32         2     Stub       8.6.6.1         3.3.3.4         0.0.0.0
 3.3.3.5/32         2     Stub       8.6.6.1         3.3.3.5         0.0.0.0
 3.3.3.6/32         1     Stub       8.6.6.1         3.3.3.6         0.0.0.0
 8.6.12.0/24        4     Transit    8.6.6.1         3.3.3.1         0.0.0.0
 8.6.13.0/24        4     Transit    8.6.6.1         3.3.3.1         0.0.0.0
 8.6.24.0/24        3     Transit    8.6.6.1         3.3.3.4         0.0.0.0
 8.6.35.0/24        3     Transit    8.6.6.1         3.3.3.5         0.0.0.0
 8.6.46.0/24        2     Transit    8.6.6.1         3.3.3.6         0.0.0.0
 8.6.56.0/24        2     Transit    8.6.6.1         3.3.3.6         0.0.0.0
 8.8.8.5/32         4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 8.8.8.10/32        4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 8.8.8.15/32        4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 8.8.8.20/32        4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 8.8.8.25/32        4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 8.8.8.30/32        4     Stub       8.6.6.1         3.3.3.1         0.0.0.0
 9.9.9.5/32         1     Stub       8.6.6.1         3.3.3.6         0.0.0.0
 9.9.9.10/32        1     Stub       8.6.6.1         3.3.3.6         0.0.0.0
 30.0.0.0/24        5     Transit    8.6.6.1         3.3.3.1         0.0.0.0

 Routing for ASEs
 Destination        Cost      Type       Tag         NextHop         AdvRouter
 1.1.1.0/24         1         Type2      3489725928  8.6.6.1         30.0.0.1
 10.1.101.0/24      1         Type2      3489725928  8.6.6.1         30.0.0.1
 10.1.103.0/24      1         Type2      3489725928  8.6.6.1         30.0.0.1

 Total Nets: 25 
 Intra Area: 22  Inter Area: 0  ASE: 3  NSSA: 0 
