
OSPF Process 1 with Router ID 2.1.1.2
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1         1525     84 80000036            1
 Router    2.1.1.2         2.1.1.2          196     84 80000037            1
 Router    2.1.2.1         2.1.2.1          295     60 80000035            1
 Router    2.1.2.2         2.1.2.2         1548     60 80000034            1
 Router    2.1.5.1         2.1.5.1         1627     84 80000036            1
 Router    2.1.5.2         2.1.5.2         1551     60 80000034            1
 Network   182.158.1.1     2.1.1.1          654     32 80000033            0
 Network   182.158.1.6     2.1.5.2          314     32 80000033            0
 Network   182.158.1.9     2.1.1.2          538     32 80000033            0
 Network   182.158.1.14    2.1.5.2          185     32 80000033            0
 Network   182.158.2.2     2.1.2.1          350     32 80000033            0
 Network   182.158.2.6     2.1.2.2          324     32 80000033            0
 Network   182.158.2.10    2.1.2.1         1665     32 80000032            0
 Network   182.158.2.14    2.1.2.2          231     32 80000033            0
