Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 0
Current messages : 55

Jun  3 2026 02:16:12 PJGFA-SL-02 %%01NVO3/4/NVO3_TUNNEL_DEL(l):CID=0x81a10452;The IPv4 VXLAN tunnel was deleted. (SourceIpAddress=2.1.2.2, DestinationIpAddress=2.1.5.2)
Jun  3 2026 01:36:41 PJGFA-SL-02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn5, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777472)
Jun  3 2026 01:36:41 PJGFA-SL-02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn4, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777470)
Jun  3 2026 01:36:41 PJGFA-SL-02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn3, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777469)
Jun  3 2026 01:36:41 PJGFA-SL-02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn2, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777468)
Jun  3 2026 01:36:41 PJGFA-SL-02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=vpn1, ProcessID=0, ProtocolID=BGP, SubProtocolID=IBGP, ExitIf=-, Nexthop=2.1.5.1, Neighbour=2.1.1.2, Preference=255, Metric=0, IndirectID=16777467)
Jun  3 2026 01:36:40 PJGFA-SL-02 %%01NVO3/4/NVO3_TUNNEL_UP(l):CID=0x81a10452;The status of the vxlan tunnel changed to up. (SourceIpAddress=2.1.2.2, DestinationIpAddress=2.1.5.1, TunnelStatus=UP) 
Jun  3 2026 01:36:40 PJGFA-SL-02 %%01NVO3/4/NVO3_TUNNEL_DOWN(l):CID=0x81a10452;The status of the vxlan tunnel changed to down. (SourceIpAddress=2.1.2.2, DestinationIpAddress=2.1.5.1, TunnelStatus=DOWN) 
Jun  3 2026 01:36:40 PJGFA-SL-02 %%01NVO3/2/IPv4VxlanTunnelDown_clear(l):CID=0x81a10452-alarmID=0x0a112005-clearType=service_resume;The IPv4 vxlan tunnel status changes. (SourceIpAddress=2.1.2.2, DestinationIpAddress=2.1.5.1, TunnelStatus=UP)
Jun  3 2026 01:35:48 PJGFA-SL-02 %%01BGP/2/bgpBackwardTransition_clear(l):CID=0x80130455-alarmID=0x0879000f-clearType=service_resume;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.1, BgpPeerLastError=0 , BgpPeerState=6, LocalIfName=-, Reason=Alarm clear, Description=)
Jun  3 2026 01:35:48 PJGFA-SL-02 %%01BGP/2/PEER_ESTABLISHED_NOTIFICATION(l):CID=0x80130455;The BGP FSM enters the Established state. (BgpPeerRemoteAddr=2.1.1.1, BgpPeerLastError=0, BgpPeerState=6,VpnInstance=_public_)
